Source:,C:\Users\shiel\OneDrive\Documents\KiCad\weather_station\weather_station.kicad_sch,,,,,,,,,,,,
Date:,4/20/2023 16:31,,,,,,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,33,,,,,,,,,,,,
,,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Source,Link,Buy 3 or full?,part number,tot num,price,tot price,Bought
1,2,"C1, C2",22 pF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,digikey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31C220JBCNNNC/3886861,3,1276-1203-1-ND,10,0.097,0.97,y
2,1,C3,1 uF,Device:C_Polarized,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,digikey,https://www.digikey.com/en/products/detail/vishay-sprague/293D105X9016A2TE3/1559465,3,718-1113-1-ND,10,0.24,2.4,y
3,1,D1,1N4007,Device:D,Diode_SMD:D_SOD-123F,digikey,https://www.digikey.com/en/products/detail/smc-diode-solutions/1N4007FL/11657817,3,1655-1N4007FLCT-ND,10,0.126,1.26,y
4,1,J1,Power input ,Connector:Screw_Terminal_01x02,digikey-footprints:Term_Block_1x2_P5.08MM,digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTTC022162/614558,50?,ED2609-ND,50,0.2878,14.39,y
5,1,J2,Ground input,:Screw_Terminal_01x02_1,digikey-footprints:Term_Block_1x2_P5.08MM,digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTTC022162/614558,50?,ED2609-ND,50,0.2878,14.39,y
6,1,J3,6P4C,Connector:6P4C,custom_parts:RJ11_connector_jack,digikey,https://www.digikey.com/en/products/detail/amphenol-cs-fci/54601-906002WPLF/4242890,50?,609-5080-ND,50,0.2876,14.38,y
7,1,J4,RTC-socket,Connector:Conn_01x08_Socket,custom_parts:PinSocket_1x08_P2.54mm_Vertical_RTC,digikey,https://www.digikey.com/en/products/detail/oupiin/2044-1X08G00SA/13251767,50?,2553-2044-1X08G00SA-ND,50,0.36,18,y
8,,,RTC,,,adafruit,https://www.adafruit.com/product/5188,50,,50,12.56,628,
9,1,J5,Micro_SD_Card_Adafruit,Connector:Micro_SD_Card,custom_parts:adafruit_microSD_breakout_board_8-pin,adafruit,https://www.adafruit.com/product/254,50,,50,6.75,337.5,
10,1,,SD card,,,amazon,https://www.amazon.com/KOOTION-Micro-Ultra-Memory-High-Speed/dp/B07WJ359P6/ref=sr_1_1_sspa?crid=1N6DDJP3KLNC2&keywords=microsd%2Bmemory%2Bcard%2Bpack&qid=1681326215&sprefix=microsd%2Bmemory%2Bcard%2Bpack%2Caps%2C98&sr=8-1-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFFWlExTUJJSTMzRVImZW5jcnlwdGVkSWQ9QTEwMzc2ODcxV0Y0U0lQUjFSMVFaJmVuY3J5cHRlZEFkSWQ9QTA2NDcyODQxMjU5UjZHREdQVEEzJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ&th=1,50,,10,20.99,209.9,
