Source:,C:\Users\shiel\OneDrive\Documents\KiCad\weather_station\weather_station.kicad_sch,,,,,,,,,
Date:,4/20/2023 16:31,,,,,,,,,
Tool:,Eeschema 7.0.1,,,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,
Component Count:,47,,,,,,,,,
,,,,,,,,,,
Collated Components:,,,,,,,,,,
,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Source,Link,part number, price , tot price 
1,2,"C1, C2",22 pF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,digikey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31C220JBCNNNC/3886861,1276-1203-1-ND, $0.12 , $0.24 
2,1,C3,1 uF,Device:C_Polarized,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Jameco,https://www.jameco.com/webapp/wcs/stores/servlet/ProductDisplay?catalogId=10001&langId=-1&storeId=10001&productId=29831,29831, $0.14 , $0.14 
3,1,D1,1N4007,Device:D,Diode_SMD:D_SOD-123F,digikey,https://www.digikey.com/en/products/detail/smc-diode-solutions/1N4007FL/11657817,1655-1N4007FLCT-ND, $0.13 , $0.13 
4,1,J1,Power input ,Connector:Screw_Terminal_01x02,digikey-footprints:Term_Block_1x2_P5.08MM,digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTTC022162/614558,ED2609-ND, $0.57 , $0.57 
5,1,J2,Ground input,:Screw_Terminal_01x02_1,digikey-footprints:Term_Block_1x2_P5.08MM,digikey,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTTC022162/614558,ED2609-ND, $0.57 , $0.57 
6,1,J3,6P4C,Connector:6P4C,custom_parts:RJ11_connector_jack,digikey,https://www.digikey.com/en/products/detail/amphenol-cs-fci/87180-064LF/1001370https://www.digikey.com/en/products/detail/amphenol-cs-fci/87180-064LF/1001370,609-1056-ND, $1.63 , $1.63 
7,1,J4,RTC-socket,Connector:Conn_01x08_Socket,custom_parts:PinSocket_1x08_P2.54mm_Vertical_RTC,digikey,https://www.digikey.com/en/products/detail/oupiin/2044-1X08G00SA/13251767,2553-2044-1X08G00SA-ND, $0.36 , $0.36 
8,1,J5,Micro_SD_Card_Adafruit,Connector:Micro_SD_Card,custom_parts:adafruit_microSD_breakout_board_8-pin,adafruit,https://www.adafruit.com/product/254,, $7.50 , $7.50 
9,1,J6,BME280-connector,Connector:Conn_01x04_Socket,custom_parts:JST-SH,adafruit,https://www.adafruit.com/product/4328,, $0.40 , $0.40 
10,1,On/Off1,SW_SPST,Switch:SW_SPST,custom_parts:Switch_Slide_SPST_DS04-254-2-01BK-SMT,digikey,https://www.digikey.com/en/products/detail/cui-devices/DS04-254-2-01BK-SMT/11310848,2223-DS04-254-2-01BK-SMT-ND, $0.71 , $0.71 
